tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6
0.0,0.0665311142802238,3.003769874572754,-0.4499795526709931,0.0886212363839149,0.1079722791910171,-2.988661071867682e-05,0.0565145388245582,0.0485907979309558,-1.933449129865039e-05,0.0,3.0323266983032227,-0.521883201599121,0.0,16.25,0.0,3.11136245727539,-0.41817111968994136,0.0,19.5,0.0,3.173947334289551,-0.3784744262695313,0.0,15.75,,,,,,,,,,,,,,,
0.0,0.0665311142802238,3.003769874572754,-0.4499795526709931,0.0886212363839149,0.1079722791910171,-2.988661071867682e-05,0.0565145388245582,0.0485907979309558,-1.933449129865039e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0735276639461517,3.0044283866882324,-0.4499792587113916,0.0975223556160926,0.1025796607136726,-3.150591874145903e-05,0.0619842931628227,0.0377905257046222,-2.051045885309577e-05,0.0,3.105640411376953,-0.069126319885254,-0.1917510479688644,12.75,0.0,3.1081438064575195,-0.5386917114257812,0.0,18.75,0.0,3.1818151473999023,-0.34843368530273433,0.0,15.5,,,,,,,,,,,,,,,
0.0,0.0735276639461517,3.0044283866882324,-0.4499792587113916,0.0975223556160926,0.1025796607136726,-3.150591874145903e-05,0.0619842931628227,0.0377905257046222,-2.051045885309577e-05,0.0,3.109574317932129,-0.4925577163696288,0.0,19.5,0.0,3.17072868347168,-0.424966049194336,0.0,15.5,,,,,,,,,,,,,,,,,,,,
0.0,0.0735276639461517,3.0044283866882324,-0.4499792587113916,0.0975223556160926,0.1025796607136726,-3.150591874145903e-05,0.0619842931628227,0.0377905257046222,-2.051045885309577e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0735276639461517,3.0044283866882324,-0.4499792587113916,0.0975223556160926,0.1025796607136726,-3.150591874145903e-05,0.0619842931628227,0.0377905257046222,-2.051045885309577e-05,0.0,2.883195877075196,-0.5036441802978515,0.0,12.25,0.0,3.1585693359375,-0.349148941040039,0.0,16.75,,,,,,,,,,,,,,,,,,,,
0.0,0.0735276639461517,3.0044283866882324,-0.4499792587113916,0.0975223556160926,0.1025796607136726,-3.150591874145903e-05,0.0619842931628227,0.0377905257046222,-2.051045885309577e-05,0.0,2.8982162475585938,-0.46859664916992183,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0785238593816757,3.001417636871338,-0.4499794662417116,0.1029626280069351,0.0903566107153892,-3.3771713788155466e-05,0.0646950379014015,0.0192478913813829,-2.201601637352724e-05,0.0,2.961874008178711,-0.2779809951782226,-0.1917510479688644,15.25,0.0,2.992987632751465,-0.2268402099609376,-0.1917510479688644,13.5,0.0,2.908945083618164,-0.38956089019775386,0.0,12.75,,,,,,,,,,,,,,,
0.0,0.0785238593816757,3.001417636871338,-0.4499794662417116,0.1029626280069351,0.0903566107153892,-3.3771713788155466e-05,0.0646950379014015,0.0192478913813829,-2.201601637352724e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0810912251472473,3.0017459392547607,-0.4499793105289427,0.1056701466441154,0.0854823663830757,-3.5259385185781866e-05,0.0659532025456428,0.0098678963258862,-2.305888119735755e-05,0.0,3.0891895294189453,-0.2393571853637696,-0.1917510479688644,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
