tid,posx,posy,posz,velx,vely,velz,accx,accy,accz,pointx1,pointy1,pointz1,doppler1,snr1,pointx2,pointy2,pointz2,doppler2,snr2,pointx3,pointy3,pointz3,doppler3,snr3,pointx4,pointy4,pointz4,doppler4,snr4,pointx5,pointy5,pointz5,doppler5,snr5,pointx6,pointy6,pointz6,doppler6,snr6,pointx7,pointy7,pointz7,doppler7,snr7,pointx8,pointy8,pointz8,doppler8,snr8,pointx9,pointy9,pointz9,doppler9,snr9,pointx10,pointy10,pointz10,doppler10,snr10,pointx11,pointy11,pointz11,doppler11,snr11
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.9189586639404297,-1.0445812225341797,0.0,16.5,0.0,2.8055906295776367,-0.9254911422729493,0.0,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.936840057373047,-1.0392168045043946,0.0,17.25,0.0,2.838134765625,-0.84931640625,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.941489219665528,-1.0528066635131836,0.0,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.945423126220703,-1.0306337356567383,0.0,16.25,0.0,2.835988998413086,-0.8697011947631836,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.8363466262817383,-0.8908012390136719,0.0,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.8231143951416016,-0.8840063095092774,0.0,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,3.049492835998535,-1.1543729782104493,0.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.000546513707377,2.951014995574951,-1.084145176410675,-0.000298956525512,0.0223532766103744,-0.0676653534173965,-0.0001721719163469,0.0955951660871505,-0.0805902481079101,0.0,2.91287899017334,-1.0724761962890625,0.0,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
